,title,conference,year,authors,abstract,pdf_path,pdf_url,code_url,relevant,tran_flag
1,Adaptive Sparse Convolutional Networks With Global Context Enhancement for Faster Object Detection on Drone Images,CVPR,2023,"Bowei Du, Yecheng Huang, Jiaxin Chen, Di Huang","Object detection on drone images with low-latency is an important but challenging task on the resource-constrained unmanned aerial vehicle (UAV) platform. This paper investigates optimizing the detection head based on the sparse convolution, which proves effective in balancing the accuracy and efficiency. Nevertheless, it suffers from inadequate integration of contextual information of tiny objects as well as clumsy control of the mask ratio in the presence of foreground with varying scales. To address the issues above, we propose a novel global context-enhanced adaptive sparse convolutional network (CEASC). It first develops a context-enhanced group normalization (CE-GN) layer, by replacing the statistics based on sparsely sampled features with the global contextual ones, and then designs an adaptive multi-layer masking strategy to generate optimal mask ratios at distinct scales for compact foreground coverage, promoting both the accuracy and efficiency. Extensive experimental results on two major benchmarks, i.e. VisDrone and UAVDT, demonstrate that CEASC remarkably reduces the GFLOPs and accelerates the inference procedure when plugging into the typical state-of-the-art detection frameworks (e.g. RetinaNet and GFL V1) with competitive performance. Code is available at https://github.com/Cuogeihong/CEASC.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Du_Adaptive_Sparse_Convolutional_Networks_With_Global_Context_Enhancement_for_Faster_CVPR_2023_paper.pdf,https://github.com/Cuogeihong/CEASC,1,本文研究了在资源受限的无人机平台上进行低延迟目标检测的优化方法。通过基于稀疏卷积的检测头优化，可以在准确性和效率之间取得平衡。然而，由于微小物体的上下文信息集成不足以及前景尺度变化时掩模比例的笨拙控制，该方法存在一些问题。为了解决这些问题，本文提出了一种新颖的全局上下文增强自适应稀疏卷积网络（CEASC）。它首先开发了一个上下文增强组归一化（CE-GN）层，通过用全局上下文替换基于稀疏采样特征的统计信息，从而生成最佳掩模比例，以促进准确性和效率。在两个主要基准测试中，即VisDrone和UAVDT上的广泛实验结果表明，CEASC显著降低了GFLOPs并加速了推理
2,Boosting Low-Data Instance Segmentation by Unsupervised Pre-Training With Saliency Prompt,CVPR,2023,"Hao Li, Dingwen Zhang, Nian Liu, Lechao Cheng, Yalun Dai, Chao Zhang, Xinggang Wang, Junwei Han","Recently, inspired by DETR variants, query-based end-to-end instance segmentation (QEIS) methods have outperformed CNN-based models on large-scale datasets. Yet they would lose efficacy when only a small amount of training data is available since it's hard for the crucial queries/kernels to learn localization and shape priors. To this end, this work offers a novel unsupervised pre-training solution for low-data regimes. Inspired by the recent success of the Prompting technique, we introduce a new pre-training method that boosts QEIS models by giving Saliency Prompt for queries/kernels. Our method contains three parts: 1) Saliency Masks Proposal is responsible for generating pseudo masks from unlabeled images based on the saliency mechanism. 2) Prompt-Kernel Matching transfers pseudo masks into prompts and injects the corresponding localization and shape priors to the best-matched kernels. 3) Kernel Supervision is applied to supply supervision at the kernel level for robust learning. From a practical perspective, our pre-training method helps QEIS models achieve a similar convergence speed and comparable performance with CNN-based models in low-data regimes. Experimental results show that our method significantly boosts several QEIS models on three datasets.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Li_Boosting_Low-Data_Instance_Segmentation_by_Unsupervised_Pre-Training_With_Saliency_Prompt_CVPR_2023_paper.pdf,,1,最近，受到DETR变体的启发，基于查询的端到端实例分割（QEIS）方法在大规模数据集上表现优于基于CNN的模型。然而，当只有少量训练数据可用时，它们会失去效力，因为关键查询/核心很难学习定位和形状先验知识。为此，本文提供了一种新颖的无监督预训练解决方案，适用于低数据情况。受Prompting技术的最近成功启发，我们引入了一种新的预训练方法，通过为查询/核心提供显著性提示来增强QEIS模型。我们的方法包含三个部分：1）显著性掩模提议负责基于显著性机制从未标记图像生成伪掩模。2）提示核心匹配将伪掩模转换为提示，并将相应的定位和形状先验知识注入到最佳匹配的核心中。3）核心监督应
11,What Can Human Sketches Do for Object Detection?,CVPR,2023,"Pinaki Nath Chowdhury, Ayan Kumar Bhunia, Aneeshan Sain, Subhadeep Koley, Tao Xiang, Yi-Zhe Song","Sketches are highly expressive, inherently capturing subjective and fine-grained visual cues. The exploration of such innate properties of human sketches has, however, been limited to that of image retrieval. In this paper, for the first time, we cultivate the expressiveness of sketches but for the fundamental vision task of object detection. The end result is a sketch-enabled object detection framework that detects based on what you sketch -- that ""zebra"" (e.g., one that is eating the grass) in a herd of zebras (instance-aware detection), and only the part (e.g., ""head"" of a ""zebra"") that you desire (part-aware detection). We further dictate that our model works without (i) knowing which category to expect at testing (zero-shot) and (ii) not requiring additional bounding boxes (as per fully supervised) and class labels (as per weakly supervised). Instead of devising a model from the ground up, we show an intuitive synergy between foundation models (e.g., CLIP) and existing sketch models build for sketch-based image retrieval (SBIR), which can already elegantly solve the task -- CLIP to provide model generalisation, and SBIR to bridge the (sketch->photo) gap. In particular, we first perform independent prompting on both sketch and photo branches of an SBIR model to build highly generalisable sketch and photo encoders on the back of the generalisation ability of CLIP. We then devise a training paradigm to adapt the learned encoders for object detection, such that the region embeddings of detected boxes are aligned with the sketch and photo embeddings from SBIR. Evaluating our framework on standard object detection datasets like PASCAL-VOC and MS-COCO outperforms both supervised (SOD) and weakly-supervised object detectors (WSOD) on zero-shot setups. Project Page: https://pinakinathc.github.io/sketch-detect",,https://openaccess.thecvf.com/content/CVPR2023/papers/Chowdhury_What_Can_Human_Sketches_Do_for_Object_Detection_CVPR_2023_paper.pdf,,1,本文介绍了一种基于素描的物体检测框架，该框架可以根据您所画的素描来检测物体，包括实例感知检测和部位感知检测。该模型不需要知道测试时期望的类别，也不需要额外的边界框和类标签。作者通过将基础模型（如CLIP）和现有的基于素描的图像检索（SBIR）模型相结合，构建了高度通用的素描和图像编码器，并通过训练范式将学习到的编码器用于物体检测。在PASCAL-VOC和MS-COCO等标准物体检测数据集上评估该框架，结果表明在零样本设置下，该框架的性能优于有监督和弱监督物体检测器。
21,SAP-DETR: Bridging the Gap Between Salient Points and Queries-Based Transformer Detector for Fast Model Convergency,CVPR,2023,"Yang Liu, Yao Zhang, Yixin Wang, Yang Zhang, Jiang Tian, Zhongchao Shi, Jianping Fan, Zhiqiang He","Recently, the dominant DETR-based approaches apply central-concept spatial prior to accelerating Transformer detector convergency. These methods gradually refine the reference points to the center of target objects and imbue object queries with the updated central reference information for spatially conditional attention. However, centralizing reference points may severely deteriorate queries' saliency and confuse detectors due to the indiscriminative spatial prior. To bridge the gap between the reference points of salient queries and Transformer detectors, we propose SAlient Point-based DETR (SAP-DETR) by treating object detection as a transformation from salient points to instance objects. In SAP-DETR, we explicitly initialize a query-specific reference point for each object query, gradually aggregate them into an instance object, and then predict the distance from each side of the bounding box to these points. By rapidly attending to query-specific reference region and other conditional extreme regions from the image features, SAP-DETR can effectively bridge the gap between the salient point and the query-based Transformer detector with a significant convergency speed. Our extensive experiments have demonstrated that SAP-DETR achieves 1.4 times convergency speed with competitive performance. Under the standard training scheme, SAP-DETR stably promotes the SOTA approaches by  1.0 AP. Based on ResNet-DC-101, SAP-DETR achieves 46.9 AP. The code will be released at https://github.com/liuyang-ict/SAP-DETR.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Liu_SAP-DETR_Bridging_the_Gap_Between_Salient_Points_and_Queries-Based_Transformer_CVPR_2023_paper.pdf,https://github.com/liuyang-ict/SAP-DETR,1,最近，基于DETR的方法应用中心概念空间先验来加速Transformer检测器的收敛。这些方法逐渐将参考点细化到目标对象的中心，并为空间条件注意力赋予了更新的中心参考信息。然而，集中参考点可能会严重降低查询的显著性，并由于不可区分的空间先验而使检测器混淆。为了弥合显著查询的参考点和Transformer检测器之间的差距，我们提出了基于显著点的DETR（SAP-DETR），将目标检测视为从显著点到实例对象的转换。在SAP-DETR中，我们明确为每个对象查询初始化一个特定于查询的参考点，逐渐将它们聚合成一个实例对象，然后预测边界框每侧到这些点的距离。通过快速关注来自图像特征的特定于查询的参考区域和其他条件极端区域，SAP
22,DynaMask: Dynamic Mask Selection for Instance Segmentation,CVPR,2023,"Ruihuang Li, Chenhang He, Shuai Li, Yabin Zhang, Lei Zhang","The representative instance segmentation methods mostly segment different object instances with a mask of the fixed resolution, e.g., 28x 28 grid. However, a low-resolution mask loses rich details, while a high-resolution mask incurs quadratic computation overhead. It is a challenging task to predict the optimal binary mask for each instance. In this paper, we propose to dynamically select suitable masks for different object proposals. First, a dual-level Feature Pyramid Network (FPN) with adaptive feature aggregation is developed to gradually increase the mask grid resolution, ensuring high-quality segmentation of objects. Specifically, an efficient region-level top-down path (r-FPN) is introduced to incorporate complementary contextual and detailed information from different stages of image-level FPN (i-FPN). Then, to alleviate the increase of computation and memory costs caused by using large masks, we develop a Mask Switch Module (MSM) with negligible computational cost to select the most suitable mask resolution for each instance, achieving high efficiency while maintaining high segmentation accuracy. Without bells and whistles, the proposed method, namely DynaMask, brings consistent and noticeable performance improvements over other state-of-the-arts at a moderate computation overhead. The source code: https://github.com/lslrh/DynaMask.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Li_DynaMask_Dynamic_Mask_Selection_for_Instance_Segmentation_CVPR_2023_paper.pdf,https://github.com/lslrh/DynaMask,1,本文提出了一种名为DynaMask的实例分割方法，该方法通过动态选择适合不同目标提议的掩模来解决低分辨率掩模丢失细节和高分辨率掩模带来的计算开销问题。首先，使用自适应特征聚合的双层特征金字塔网络（FPN）逐步增加掩模网格分辨率，确保高质量的对象分割。其次，引入了一种有效的区域级自顶向下路径（r-FPN）来整合来自不同阶段的图像级FPN（i-FPN）的互补上下文和详细信息。然后，为了减轻使用大型掩模带来的计算和内存成本的增加，开发了一个掩模切换模块（MSM），以选择每个实例最适合的掩模分辨率，实现高效率同时保持高分割准确性。实验结果表明，DynaMask方法在适度的计算开销下，相
23,The Devil Is in the Points: Weakly Semi-Supervised Instance Segmentation via Point-Guided Mask Representation,CVPR,2023,"Beomyoung Kim, Joonhyun Jeong, Dongyoon Han, Sung Ju Hwang","In this paper, we introduce a novel learning scheme named weakly semi-supervised instance segmentation (WSSIS) with point labels for budget-efficient and high-performance instance segmentation. Namely, we consider a dataset setting consisting of a few fully-labeled images and a lot of point-labeled images. Motivated by the main challenge of semi-supervised approaches mainly derives from the trade-off between false-negative and false-positive instance proposals, we propose a method for WSSIS that can effectively leverage the budget-friendly point labels as a powerful weak supervision source to resolve the challenge. Furthermore, to deal with the hard case where the amount of fully-labeled data is extremely limited, we propose a MaskRefineNet that refines noise in rough masks. We conduct extensive experiments on COCO and BDD100K datasets, and the proposed method achieves promising results comparable to those of the fully-supervised model, even with 50% of the fully labeled COCO data (38.8% vs. 39.7%). Moreover, when using as little as 5% of fully labeled COCO data, our method shows significantly superior performance over the state-of-the-art semi-supervised learning method (33.7% vs. 24.9%). The code is available at https://github.com/clovaai/PointWSSIS.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Kim_The_Devil_Is_in_the_Points_Weakly_Semi-Supervised_Instance_Segmentation_CVPR_2023_paper.pdf,https://github.com/clovaai/PointWSSIS,1,本文介绍了一种名为弱半监督实例分割（WSSIS）的新型学习方案，该方案使用点标签实现预算高效和高性能的实例分割。具体而言，我们考虑一个数据集设置，其中包含少量完全标记的图像和大量点标记的图像。由于半监督方法的主要挑战主要源于误报和漏报实例提议之间的权衡，因此我们提出了一种WSSIS方法，可以有效地利用预算友好的点标签作为强大的弱监督源来解决这一挑战。此外，为了处理完全标记数据量极少的困难情况，我们提出了一个MaskRefineNet来细化粗糙掩模中的噪声。我们在COCO和BDD100K数据集上进行了广泛的实验，所提出的方法取得了有希望的结果，与完全监督模型相当，即使使用COCO完全标记数据的50％（38.
18,DoNet: Deep De-Overlapping Network for Cytology Instance Segmentation,CVPR,2023,"Hao Jiang, Rushan Zhang, Yanning Zhou, Yumeng Wang, Hao Chen","Cell instance segmentation in cytology images has significant importance for biology analysis and cancer screening, while remains challenging due to 1) the extensive overlapping translucent cell clusters that cause the ambiguous boundaries, and 2) the confusion of mimics and debris as nuclei. In this work, we proposed a De-overlapping Network (DoNet) in a decompose-and-recombined strategy. A Dual-path Region Segmentation Module (DRM) explicitly decomposes the cell clusters into intersection and complement regions, followed by a Semantic Consistency-guided Recombination Module (CRM) for integration. To further introduce the containment relationship of the nucleus in the cytoplasm, we design a Mask-guided Region Proposal Strategy (MRP) that integrates the cell attention maps for inner-cell instance prediction. We validate the proposed approach on ISBI2014 and CPS datasets. Experiments show that our proposed DoNet significantly outperforms other state-of-the-art (SOTA) cell instance segmentation methods. The code is available at https://github.com/DeepDoNet/DoNet.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Jiang_DoNet_Deep_De-Overlapping_Network_for_Cytology_Instance_Segmentation_CVPR_2023_paper.pdf,https://github.com/DeepDoNet/DoNet,2,细胞实例分割在生物学分析和癌症筛查中具有重要意义，但由于1）广泛重叠的半透明细胞簇导致模糊的边界，以及2）模拟物和碎片与细胞核混淆，因此仍然具有挑战性。本文提出了一种分解和重组策略的去重叠网络（DoNet）。双路径区域分割模块（DRM）明确将细胞簇分解为交集和补集区域，随后是语义一致性引导的重组模块（CRM）进行集成。为了进一步介绍细胞质中细胞核的包含关系，我们设计了一种掩码引导的区域提议策略（MRP），将细胞注意力图集成到内部细胞实例预测中。我们在ISBI2014和CPS数据集上验证了所提出的方法。实验表明，我们提出的DoNet明
76,DeGPR: Deep Guided Posterior Regularization for Multi-Class Cell Detection and Counting,CVPR,2023,"Aayush Kumar Tyagi, Chirag Mohapatra, Prasenjit Das, Govind Makharia, Lalita Mehra, Prathosh AP, Mausam","Multi-class cell detection and counting is an essential task for many pathological diagnoses. Manual counting is tedious and often leads to inter-observer variations among pathologists. While there exist multiple, general-purpose, deep learning-based object detection and counting methods, they may not readily transfer to detecting and counting cells in medical images, due to the limited data, presence of tiny overlapping objects, multiple cell types, severe class-imbalance, minute differences in size/shape of cells, etc. In response, we propose guided posterior regularization DeGPR, which assists an object detector by guiding it to exploit discriminative features among cells. The features may be pathologist-provided or inferred directly from visual data. We validate our model on two publicly available datasets (CoNSeP and MoNuSAC), and on MuCeD, a novel dataset that we contribute. MuCeD consists of 55 biopsy images of the human duodenum for predicting celiac disease. We perform extensive experimentation with three object detection baselines on three datasets to show that DeGPR is model-agnostic, and consistently improves baselines obtaining up to 9% (absolute) mAP gains.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Tyagi_DeGPR_Deep_Guided_Posterior_Regularization_for_Multi-Class_Cell_Detection_and_CVPR_2023_paper.pdf,,2,多类细胞检测和计数是许多病理诊断中必不可少的任务。手动计数繁琐，往往导致病理学家之间的观察者差异。虽然存在多种基于深度学习的通用目标检测和计数方法，但由于数据有限、存在微小重叠对象、多种细胞类型、严重的类别不平衡、细胞大小/形状的微小差异等原因，它们可能不容易转移到医学图像中检测和计数细胞。为此，我们提出了引导后验正则化DeGPR，通过引导目标检测器利用细胞之间的区分特征来辅助它。这些特征可以是病理学家提供的，也可以直接从视觉数据中推断出来。我们在两个公开数据集（CoNSeP和MoNuSAC）以及我们贡献的一个新数据集MuCeD上验证了我们的模型。MuCeD包
4,Beyond mAP: Towards Better Evaluation of Instance Segmentation,CVPR,2023,"Rohit Jena, Lukas Zhornyak, Nehal Doiphode, Pratik Chaudhari, Vivek Buch, James Gee, Jianbo Shi","Correctness of instance segmentation constitutes counting the number of objects, correctly localizing all predictions and classifying each localized prediction. Average Precision is the de-facto metric used to measure all these constituents of segmentation. However, this metric does not penalize duplicate predictions in the high-recall range, and cannot distinguish instances that are localized correctly but categorized incorrectly. This weakness has inadvertently led to network designs that achieve significant gains in AP but also introduce a large number of false positives. We therefore cannot rely on AP to choose a model that provides an optimal tradeoff between false positives and high recall. To resolve this dilemma, we review alternative metrics in the literature and propose two new measures to explicitly measure the amount of both spatial and categorical duplicate predictions. We also propose a Semantic Sorting and NMS module to remove these duplicates based on a pixel occupancy matching scheme. Experiments show that modern segmentation networks have significant gains in AP, but also contain a considerable amount of duplicates. Our Semantic Sorting and NMS can be added as a plug-and-play module to mitigate hedged predictions and preserve AP.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Jena_Beyond_mAP_Towards_Better_Evaluation_of_Instance_Segmentation_CVPR_2023_paper.pdf,,2,实例分割的正确性包括计算对象数量、正确定位所有预测和对每个定位预测进行分类。平均精度是用于衡量分割所有这些组成部分的事实上的度量标准。然而，这个度量标准不会惩罚高召回率范围内的重复预测，并且无法区分定位正确但分类错误的实例。这个弱点无意中导致了网络设计在AP方面取得了显著的增益，但也引入了大量的假阳性。因此，我们不能依靠AP来选择提供假阳性和高召回率之间最佳权衡的模型。为了解决这个困境，我们回顾了文献中的替代度量标准，并提出了两个新的度量标准来明确测量空间和分类重复预测的数量。我们还提出了一个语义排序和NMS模块，基于像素占用匹配方案来删除这些重复项。实验表明，
15,Exemplar-FreeSOLO: Enhancing Unsupervised Instance Segmentation With Exemplars,CVPR,2023,"Taoseef Ishtiak, Qing En, Yuhong Guo","Instance segmentation seeks to identify and segment each object from images, which often relies on a large number of dense annotations for model training. To alleviate this burden, unsupervised instance segmentation methods have been developed to train class-agnostic instance segmentation models without any annotation. In this paper, we propose a novel unsupervised instance segmentation approach, Exemplar-FreeSOLO, to enhance unsupervised instance segmentation by exploiting a limited number of unannotated and unsegmented exemplars. The proposed framework offers a new perspective on directly perceiving top-down information without annotations. Specifically, Exemplar-FreeSOLO introduces a novel exemplarknowledge abstraction module to acquire beneficial top-down guidance knowledge for instances using unsupervised exemplar object extraction. Moreover, a new exemplar embedding contrastive module is designed to enhance the discriminative capability of the segmentation model by exploiting the contrastive exemplar-based guidance knowledge in the embedding space. To evaluate the proposed ExemplarFreeSOLO, we conduct comprehensive experiments and perform in-depth analyses on three image instance segmentation datasets. The experimental results demonstrate that the proposed approach is effective and outperforms the state-of-the-art methods.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Ishtiak_Exemplar-FreeSOLO_Enhancing_Unsupervised_Instance_Segmentation_With_Exemplars_CVPR_2023_paper.pdf,,2,本文提出了一种新的无监督实例分割方法Exemplar-FreeSOLO，通过利用有限数量的未注释和未分割的样本来增强无监督实例分割。该方法引入了一种新的样本知识抽象模块，通过无监督样本对象提取来获取有益的自上而下的指导知识，从而直接感知自上而下的信息。此外，还设计了一种新的样本嵌入对比模块，通过在嵌入空间中利用对比样本为基础的指导知识来增强分割模型的区分能力。实验结果表明，该方法在三个图像实例分割数据集上表现出色，有效性优于现有的最先进方法。
19,Ambiguity-Resistant Semi-Supervised Learning for Dense Object Detection,CVPR,2023,"Chang Liu, Weiming Zhang, Xiangru Lin, Wei Zhang, Xiao Tan, Junyu Han, Xiaomao Li, Errui Ding, Jingdong Wang","With basic Semi-Supervised Object Detection (SSOD) techniques, one-stage detectors generally obtain limited promotions compared with two-stage clusters. We experimentally find that the root lies in two kinds of ambiguities: (1) Selection ambiguity that selected pseudo labels are less accurate, since classification scores cannot properly represent the localization quality. (2) Assignment ambiguity that samples are matched with improper labels in pseudo-label assignment, as the strategy is misguided by missed objects and inaccurate pseudo boxes. To tackle these problems, we propose a Ambiguity-Resistant Semi-supervised Learning (ARSL) for one-stage detectors. Specifically, to alleviate the selection ambiguity, Joint-Confidence Estimation (JCE) is proposed to jointly quantifies the classification and localization quality of pseudo labels. As for the assignment ambiguity, Task-Separation Assignment (TSA) is introduced to assign labels based on pixel-level predictions rather than unreliable pseudo boxes. It employs a 'divide-and-conquer' strategy and separately exploits positives for the classification and localization task, which is more robust to the assignment ambiguity. Comprehensive experiments demonstrate that ARSL effectively mitigates the ambiguities and achieves state-of-the-art SSOD performance on MS COCO and PASCAL VOC. Codes can be found at https://github.com/PaddlePaddle/PaddleDetection.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Liu_Ambiguity-Resistant_Semi-Supervised_Learning_for_Dense_Object_Detection_CVPR_2023_paper.pdf,https://github.com/PaddlePaddle/PaddleDetection,2,本文提出了一种抗模糊半监督学习方法（ARSL）用于一阶段目标检测器。研究发现，与两阶段检测器相比，基本的半监督目标检测技术只能获得有限的提升。这是由于存在两种模糊性：（1）选择模糊性，即由于分类分数不能正确表示定位质量，所选伪标签的准确性较低；（2）分配模糊性，即由于策略被错过的对象和不准确的伪框所误导，样本被分配给不当的伪标签。为了解决这些问题，ARSL提出了两种方法：联合置信度估计（JCE）和任务分离分配（TSA）。JCE用于缓解选择模糊性，它联合量化伪标签的分类和定位质量。TSA用于解决分配模糊性，它基于像素级预测而不是不可靠
27,Unknown Sniffer for Object Detection: Don't Turn a Blind Eye to Unknown Objects,CVPR,2023,"Wenteng Liang, Feng Xue, Yihao Liu, Guofeng Zhong, Anlong Ming","The recently proposed open-world object and open-set detection have achieved a breakthrough in finding never-seen-before objects and distinguishing them from known ones. However, their studies on knowledge transfer from known classes to unknown ones are not deep enough, resulting in the scanty capability for detecting unknowns hidden in the background. In this paper, we propose the unknown sniffer (UnSniffer) to find both unknown and known objects. Firstly, the generalized object confidence (GOC) score is introduced, which only uses known samples for supervision and avoids improper suppression of unknowns in the background. Significantly, such confidence score learned from known objects can be generalized to unknown ones. Additionally, we propose a negative energy suppression loss to further suppress the non-object samples in the background. Next, the best box of each unknown is hard to obtain during inference due to lacking their semantic information in training. To solve this issue, we introduce a graph-based determination scheme to replace hand-designed non-maximum suppression (NMS) post-processing. Finally, we present the Unknown Object Detection Benchmark, the first publicly benchmark that encompasses precision evaluation for unknown detection to our knowledge. Experiments show that our method is far better than the existing state-of-the-art methods. Code is available at: https://github.com/Went-Liang/UnSniffer.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Liang_Unknown_Sniffer_for_Object_Detection_Dont_Turn_a_Blind_Eye_CVPR_2023_paper.pdf,https://github.com/Went-Liang/UnSniffer,2,本文提出了一种名为“未知嗅探器（UnSniffer）”的方法，可以发现未知和已知对象。首先，引入了广义对象置信度（GOC）分数，仅使用已知样本进行监督，并避免了对背景中未知对象的不当抑制。此外，还提出了一种负能量抑制损失，以进一步抑制背景中的非对象样本。接下来，为了解决推理过程中无法获得每个未知对象的最佳框的问题，引入了基于图的确定方案来替代手动设计的非极大值抑制（NMS）后处理。最后，提出了未知对象检测基准，这是我们所知道的第一个公开基准，包括对未知检测的精度评估。实验表明，我们的方法比现有的最先进方法要好得多。代码可在以下网址找到：https://github.com/Went-Liang/UnSniffer。
33,MixTeacher: Mining Promising Labels With Mixed Scale Teacher for Semi-Supervised Object Detection,CVPR,2023,"Liang Liu, Boshen Zhang, Jiangning Zhang, Wuhao Zhang, Zhenye Gan, Guanzhong Tian, Wenbing Zhu, Yabiao Wang, Chengjie Wang","Scale variation across object instances is one of the key challenges in object detection. Although modern detection models have achieved remarkable progress in dealing with the scale variation, it still brings trouble in the semi-supervised case. Most existing semi-supervised object detection methods rely on strict conditions to filter out high-quality pseudo labels from the network predictions. However, we observe that objects with extreme scale tend to have low confidence, which makes the positive supervision missing for these objects. In this paper, we delve into the scale variation problem, and propose a novel framework by introducing a mixed scale teacher to improve the pseudo labels generation and scale invariant learning. In addition, benefiting from the better predictions from mixed scale features, we propose to mine pseudo labels with the score promotion of predictions across scales. Extensive experiments on MS COCO and PASCAL VOC benchmarks under various semi-supervised settings demonstrate that our method achieves new state-of-the-art performance. The code and models will be made publicly available.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Liu_MixTeacher_Mining_Promising_Labels_With_Mixed_Scale_Teacher_for_Semi-Supervised_CVPR_2023_paper.pdf,,2,目标检测中，物体实例的尺度变化是一个关键挑战之一。尽管现代检测模型在处理尺度变化方面取得了显著进展，但在半监督情况下仍然存在问题。大多数现有的半监督目标检测方法依赖于严格的条件来过滤网络预测中的高质量伪标签。然而，我们观察到尺度极端的物体往往具有较低的置信度，这使得这些物体缺乏正面监督。本文深入探讨了尺度变化问题，并通过引入混合尺度教师提出了一种新的框架，以改善伪标签生成和尺度不变学习。此外，受益于混合尺度特征的更好预测，我们提出了通过跨尺度预测得分提升来挖掘伪标签的方法。在各种半监督设置下，对 MS
36,Open-Vocabulary Attribute Detection,CVPR,2023,"María A. Bravo, Sudhanshu Mittal, Simon Ging, Thomas Brox","Vision-language modeling has enabled open-vocabulary tasks where predictions can be queried using any text prompt in a zero-shot manner. Existing open-vocabulary tasks focus on object classes, whereas research on object attributes is limited due to the lack of a reliable attribute-focused evaluation benchmark. This paper introduces the Open-Vocabulary Attribute Detection (OVAD) task and the corresponding OVAD benchmark. The objective of the novel task and benchmark is to probe object-level attribute information learned by vision-language models. To this end, we created a clean and densely annotated test set covering 117 attribute classes on the 80 object classes of MS COCO. It includes positive and negative annotations, which enables open-vocabulary evaluation. Overall, the benchmark consists of 1.4 million annotations. For reference, we provide a first baseline method for open-vocabulary attribute detection. Moreover, we demonstrate the benchmark's value by studying the attribute detection performance of several foundation models.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Bravo_Open-Vocabulary_Attribute_Detection_CVPR_2023_paper.pdf,,2,本文介绍了开放词汇属性检测（OVAD）任务及相应的OVAD基准。该任务和基准的目标是探究视觉语言模型学习的对象级属性信息。为此，我们创建了一个干净且密集注释的测试集，涵盖了MS COCO的80个对象类别中的117个属性类别。它包括正面和负面注释，可以进行开放词汇评估。总体而言，基准包括140万个注释。我们提供了一个开放词汇属性检测的第一个基准方法。此外，我们通过研究几个基础模型的属性检测性能，展示了基准的价值。
38,BoxTeacher: Exploring High-Quality Pseudo Labels for Weakly Supervised Instance Segmentation,CVPR,2023,"Tianheng Cheng, Xinggang Wang, Shaoyu Chen, Qian Zhang, Wenyu Liu","Labeling objects with pixel-wise segmentation requires a huge amount of human labor compared to bounding boxes. Most existing methods for weakly supervised instance segmentation focus on designing heuristic losses with priors from bounding boxes. While, we find that box-supervised methods can produce some fine segmentation masks and we wonder whether the detectors could learn from these fine masks while ignoring low-quality masks. To answer this question, we present BoxTeacher, an efficient and end-to-end training framework for high-performance weakly supervised instance segmentation, which leverages a sophisticated teacher to generate high-quality masks as pseudo labels. Considering the massive noisy masks hurt the training, we present a mask-aware confidence score to estimate the quality of pseudo masks and propose the noise-aware pixel loss and noise-reduced affinity loss to adaptively optimize the student with pseudo masks. Extensive experiments can demonstrate the effectiveness of the proposed BoxTeacher. Without bells and whistles, BoxTeacher remarkably achieves 35.0 mask AP and 36.5 mask AP with ResNet-50 and ResNet-101 respectively on the challenging COCO dataset, which outperforms the previous state-of-the-art methods by a significant margin and bridges the gap between box-supervised and mask-supervised methods. The code and models will be available later.",,https://openaccess.thecvf.com/content/CVPR2023/papers/Cheng_BoxTeacher_Exploring_High-Quality_Pseudo_Labels_for_Weakly_Supervised_Instance_Segmentation_CVPR_2023_paper.pdf,,2,本文提出了一种高效的、端到端的训练框架BoxTeacher，用于弱监督实例分割。该框架利用复杂的教师生成高质量的伪标签，以适应性地优化学生。为了解决噪声标签的问题，提出了噪声感知像素损失和噪声减少亲和力损失。实验结果表明，BoxTeacher在COCO数据集上取得了显著的性能提升，达到了35.0和36.5的mask AP，超过了之前的最先进方法。该方法填补了盒子监督和掩模监督方法之间的差距。
